S.Rayavaram,Sarvasiddi,Dharmasagaram,SS,GP,Auction,5.00,1.00,,,,,,,,,,
S.Rayavaram,lingarajupalem,kotha tank,SS,GP,Auction,5.00,1.40,,,,,,,,,,
S.Rayavaram,Vonnavaram,Narasimhasagaram,SS,GP,Auction,8.00,1.20,,,,,,,,,,
S.Rayavaram,Vakapadu,Ramasagaram,SS,GP,Auction,5.00,1.30,,,,,,,,,,
S.Rayavaram,Vemagiri,Ummidi Tank,SS,GP,Auction,5.20,1.80,,,,,,,,,,
S.Rayavaram,Karrivanipalem,Pedda Tank,SS,GP,Auction,7.00,1.20,,,,,,,,,,
Payakaraopeta,Edatam,Padmaraju Tank,SS,GP,Auction,6.00,1.50,,,,,,,,,,
Payakaraopeta,Edatam,Buramma Tank,SS,GP,Auction,5.00,1.60,,,,,,,,,,
Payakaraopeta,Edatam,Musalabanda Tank,SS,GP,Auction,7.00,2.50,,,,,,,,,,
Payakaraopeta,Kandipudi,Puttalamma Tank ,SS,GP,Auction,9.00,2.50,,,,,,,,,,
Payakaraopeta,Kandipudi,Ramabadraraju Tank,SS,GP,Auction,6.00,1.00,,,,,,,,,,
Payakaraopeta,Kandipudi,Mangalabanda Tank,SS,GP,Auction,4.50,1.00,,,,,,,,,,
Payakaraopeta,Kandipudi,Anjaneya Tank,SS,GP,Auction,7.00,2.00,,,,,,,,,,
Payakaraopeta,Palteru,Kotipalli Tank,SS,GP,Auction,9.00,3.00,,,,,,,,,,
Payakaraopeta,Palteru,Naraju Tank,SS,GP,Auction,8.00,3.00,,,,,,,,,,
Payakaraopeta,Palteru,Ramaraju Tank,SS,GP,Auction,6.00,2.00,,,,,,,,,,
Payakaraopeta,Palteru,Kotha Tank,SS,GP,Auction,8.00,3.00,,,,,,,,,,
Payakaraopeta,Gopalapatnam,Yerra Tank,SS,GP,Auction,8.00,3.00,,,,,,,,,,
Yellamanchili,Regupalem,Appalaraju Tank,SS,GP,Auction,6.00,3.00,,,,,,,,,,
Yellamanchili,Regupalem,Adireddivani Tank,SS,GP,Auction,5.00,1.00,,,,,,,,,,
Yellamanchili,Krishnapuram,GeddakattuChidata Tank,SS,GP,Auction,6.00,2.00,,,,,,,,,,
Yellamanchili,Yerravaram,Nookalamma Tank,SS,GP,Auction,3.00,1.00,,,,,,,,,,
Yellamanchili,Yerravaram,Marri Tank,SS,GP,Auction,4.00,1.00,,,,,,,,,,
Yellamanchili,Teruvupalli ,kandi tank,SS,GP,Auction,6.00,2.00,,,,,,,,,,
S.Rayavaram,Karrivanipalem,Krishnasagaram,SS,GP,Auction,6.00,1.00,,,,,,,,,,
S.Rayavaram,Saitharpeta,Maseedu Tank,SS,GP,Auction,5.00,1.10,,,,,,,,,,
S.Rayavaram,Chinnagummuluru,Dubbala Tank,SS,GP,Auction,10.60,3.00,,,,,,,,,,
S.Rayavaram,Chinnagummuluru,Kondavani Tank,SS,GP,Auction,8.00,3.00,,,,,,,,,,
S.Rayavaram,Chinnagummuluru,Jaggarani Tank,SS,GP,Auction,5.00,2.00,,,,,,,,,,
S.Rayavaram,Koruprolu,Buru Tank,SS,GP,Auction,5.50,2.00,,,,,,,,,,
S.Rayavaram,Bennavaram,Ramasagaram Tank,SS,GP,Auction,6.00,2.00,,,,,,,,,,
