AMADALAVALASA,VEDULLAVALASA,VOORATANK,SS,GP,LEASE,36.0,9.6,,
Srikakulam,Bhyrivanipeta,Kancharapuvani Cheruvu,SS,GP,LEASE,30.1,7.6,,
Srikakulam,Bhyrivanipeta,Rallabanda,SS,GP,LEASE,30.3,7.6,,
Srikakulam,Bhyrivanipeta,Kotta Cheruvu,SS,GP,LEASE,30.9,7.7,,
Srikakulam,Bhyrivanipeta,Chokkakula Banda,SS,GP,LEASE,30.9,7.7,,
Srikakulam,Bhyrivanipeta,Santhacheruvu,SS,GP,LEASE,31.3,7.8,,
Srikakulam,Bhyrivanipeta,Bhu Cheruvu,SS,GP,LEASE,32.1,8.0,,
Srikakulam,Bhyrivanipeta,Kotta Cheruvu,SS,GP,LEASE,32.1,8.0,,
Srikakulam,Bhyrivanipeta,Panthulu Cheruvu,SS,GP,LEASE,32.4,8.1,,
Srikakulam,Bhyrivanipeta,Kotta Cheruvu,SS,GP,LEASE,32.4,8.1,,
Srikakulam,Bhyrivanipeta,Maridi Cheruvu,SS,GP,LEASE,33.0,8.2,,
Srikakulam,Bhyrivanipeta,Pathecheruvu,SS,GP,LEASE,34.7,8.6,,
Srikakulam,Bhyrivanipeta,Pedda Cheruvu,SS,GP,LEASE,35.8,8.9,,
Srikakulam,Bhyrivanipeta,Chutturuvani Cheruvu,SS,GP,LEASE,35.9,8.9,,
Srikakulam,Bhyrivanipeta,Duppalakarra Cheruvu,SS,GP,LEASE,37.8,9.4,,
Srikakulam,Bhyrivanipeta,Krishnamnaidu Tank,SS,GP,LEASE,40.5,10.0,,
Srikakulam,Bhyrivanipeta,Bhuktavani Cheruvu,SS,GP,LEASE,46.8,11.5,,
Srikakulam,Bhyrivanipeta,Vankayalavani Cheruvu,SS,GP,LEASE,47.6,11.6,,
Srikakulam,Bhyrivanipeta,Garamma Cheruvu,SS,GP,LEASE,51.5,12.6,,
Srikakulam,Bhyrivanipeta,Ramudu Cheruvu,SS,GP,LEASE,51.7,12.6,,
Srikakulam,Bhyrivanipeta,Chintala Pedda Cheruvu,SS,GP,LEASE,52.3,12.8,,
Srikakulam,Kasimvalasa,Voora tank,SS,GP,LEASE,71.0,17.1,,
Srikakulam,Kistappa  peta,Noothi tank,SS,GP,LEASE,25.6,6.5,,
Srikakulam,Kistappa  peta,Amudala tank,SS,GP,LEASE,25.0,6.4,,
Srikakulam,Kistappa  peta,Pachimannu goyya,SS,GP,LEASE,24.8,6.3,,
Srikakulam,Ponnam,Eedulakarra Tank,SS,GP,LEASE,31.6,7.9,,
Srikakulam,Ponnam,Saidulapuvani Cheruvu,SS,GP,LEASE,34.0,8.5,,
Srikakulam,Ponnam,Komi Cheruvu,SS,GP,LEASE,35.4,8.8,,
Srikakulam,Ponnam,Devarabanda,SS,GP,LEASE,36.6,9.1,,
Srikakulam,Ponnam,Peramma Cheruvu,SS,GP,LEASE,40.1,9.9,,
Srikakulam,Singupuram,Pasuvula Cheruvu,SS,GP,LEASE,29.5,7.4,,
Srikakulam,Singupuram,Pogili Asirivani Tank,SS,GP,LEASE,31.8,8.0,,
Srikakulam,Singupuram,Rangolu Cheruvu,SS,GP,LEASE,46.3,11.3,,
Srikakulam,Singupuram,Masabu Cheruvu,SS,GP,LEASE,55.8,19.8,,
Srikakulam,Singupuram,Gedda tank,SS,GP,LEASE,28.2,7.9,,
Srikakulam,Singupuram,kondamma tank,SS,GP,LEASE,30.2,7.9,,
Srikakulam,Singupuram,Mamidi tank,SS,GP,LEASE,45.2,14.9,,
Srikakulam,Singupuram,Annepu tank,SS,GP,LEASE,31.1,8.6,,
AMADALAVALASA,AKKIVALASA,JAGGANNA TANK,SS,GP,Auction,1.27,0.77,,
AMADALAVALASA,AKKIVALASA,JAGGANNA KONERU,SS,GP,Auction,0.97,0.47,,
AMADALAVALASA,AKKIVALASA,NERADI TANK,SS,GP,Auction,0.87,0.37,,
AMADALAVALASA,AKKIVALASA,KOTTATANK,SS,GP,Auction,0.84,0.34,,
AMADALAVALASA,AKKIVALASA,ALLUVANITANK,SS,GP,Auction,0.40,0.30,,
AMADALAVALASA,AKKIVALASA,REDDY TANK,SS,GP,Auction,0.87,0.37,,
AMADALAVALASA,AKKIVALASA,VEDURUKANDU TANK,SS,GP,Auction,1.60,1.10,,
AMADALAVALASA,AKKIVALASA,PATHA TANK,SS,GP,Auction,0.60,0.10,,
AMADALAVALASA,AKKIVALASA,PANTHULTANK,SS,GP,Auction,0.37,0.25,,
AMADALAVALASA,AKKIVALASA,NAGUMAYYATNAK,SS,GP,Auction,0.37,0.28,,
AMADALAVALASA,AKKIVALASA,NAGAYYA TANK,SS,GP,Auction,1.57,1.07,,
AMADALAVALASA,AKKIVALASA,PATHULU TANK,SS,GP,Auction,1.62,1.12,,
