District Code,District Name,Mandal Code,Mandal Name,Village Code,Village Name
506,Guntur,5048,Machavaram,589885,Akurajupalle
506,Guntur,5048,Machavaram,589885,Akurajupalle
506,Guntur,5048,Machavaram,589885,Akurajupalle
523,West Godavari,4969,Pentapadu,588499,Akuteegapadu
520,Visakhapatanam,4841,Munchingi Puttu,583299,Alabeeru
515,SPSR Nellore,5168,Vidavalur,591894,Alaganipadu
511,Kurnool,5267,Midthur,594017,Alaganur
521,Vizianagaram,4816,Bobbili,582352,Alajangi
519,Srikakulam,4803,Ponduru,581570,Alamajipeta
520,Visakhapatanam,4859,Devarapalle,585989,Alamanda
521,Vizianagaram,4835,Jami,583102,Alamanda
520,Visakhapatanam,4860,K.Kotapadu,585998,Alamanda Bheemavaram
520,Visakhapatanam,4860,K.Kotapadu,585999,Alamandakoduru
520,Visakhapatanam,4859,Devarapalle,585979,Alamandakothapalle
511,Kurnool,5277,Krishnagiri,594214,Alamkonda
523,West Godavari,4969,Pentapadu,588503,Alampuram
511,Kurnool,5280,Panyam,594257,Alamur
511,Kurnool,5280,Panyam,594257,Alamur
511,Kurnool,5297,Rudravaram,594529,Alamur
511,Kurnool,5297,Rudravaram,594529,Alamur
505,East Godavari,4925,Alamuru,587665,Alamuru
502,Anantapur,5330,Anantapur,595088,Alamuru
502,Anantapur,5330,Anantapur,595088,Alamuru
523,West Godavari,4978,Penumantra,588645,Alamuru
506,Guntur,5085,Tsundur,590385,Alapadu
503,Chittoor,5405,Vijayapuram,596369,Alapakam
503,Chittoor,5423,Baireddipalle,596743,Alapalle
503,Chittoor,5380,Buchinaidu Kandriga,595916,Alathur
503,Chittoor,5380,Buchinaidu Kandriga,595916,Alathur
503,Chittoor,5380,Buchinaidu Kandriga,595916,Alathur
521,Vizianagaram,4808,Gummalakshmipuram,581875,Alavadda
506,Guntur,5066,Rompicherla,590140,Alavala
506,Guntur,5066,Rompicherla,590140,Alavala
517,Prakasam,5111,Janakavarampanguluru,590754,Alavalapadu
517,Prakasam,5103,Kurichedu,590666,Alavalapadu
504,Y.S.R.,5233,Vempalle,593454,Alavalapadu
504,Y.S.R.,5222,Veerapunayunipalle,593260,Alidena
519,Srikakulam,4802,Srikakulam,581538,Alikam
503,Chittoor,5399,Vadamalapeta,596272,Alimelu Manga Puram
503,Chittoor,5399,Vadamalapeta,596272,Alimelu Manga Puram
510,Krishna,5026,Pamidimukkala,909993,Alinakipalem
504,Y.S.R.,5233,Vempalle,593460,Alireddipalle
515,SPSR Nellore,5155,Varikuntapadu,591664,Alivelumangapuram
523,West Godavari,4948,Buttayagudem,588035,Aliveru
519,Srikakulam,4792,Jalumuru,581130,Allada
521,Vizianagaram,4838,Pusapatirega,583169,Alladapalem
519,Srikakulam,4792,Jalumuru,581131,Alladapeta
504,Y.S.R.,5213,Chapad,593114,Alladupalle
504,Y.S.R.,5213,Chapad,593114,Alladupalle
503,Chittoor,5397,Vedurukuppam,596231,Allamadugu
503,Chittoor,5397,Vedurukuppam,596231,Allamadugu
503,Chittoor,5397,Vedurukuppam,911842,Allamadugu Hw
523,West Godavari,4946,T.Narasapuram,588004,Allamcherlarajupalem
515,SPSR Nellore,5191,Kota,592535,Allampadu
515,SPSR Nellore,5163,Marripadu,591795,Allampadu
515,SPSR Nellore,5163,Marripadu,591795,Allampadu
515,SPSR Nellore,5163,Marripadu,591795,Allampadu
502,Anantapur,5358,Obuladevaracheruvu,595459,Allapalle
506,Guntur,5095,Nagaram,590496,Allaparru
506,Guntur,5095,Nagaram,590496,Allaparru
506,Guntur,5095,Nagaram,590496,Allaparru
506,Guntur,5095,Nagaram,590496,Allaparru
510,Krishna,5012,Gannavaram,589247,Allapuram
505,East Godavari,4940,Allavaram,587861,Allavaram
505,East Godavari,4940,Allavaram,587861,Allavaram
519,Srikakulam,4794,Burja,581205,Allena
510,Krishna,5021,Gudivada,589463,Allidoddi
515,SPSR Nellore,5159,Bogole,591729,Allimadugu
519,Srikakulam,4776,Mandasa,580376,Allimeraka
517,Prakasam,5134,Komarolu,591223,Allinagaram
523,West Godavari,4944,Chintalapudi,587937,Allipalle
505,East Godavari,4889,Kotananduru,586945,Allipudi
502,Anantapur,5359,Nallacheruvu,595468,Allugundu
517,Prakasam,5140,Kotha Patnam,591345,Allur
511,Kurnool,5260,Nandikotkur,593931,Allur
506,Guntur,5091,Pittalavanipalem,590451,Allur
506,Guntur,5091,Pittalavanipalem,590451,Allur
511,Kurnool,5302,Uyyalawada,594608,Allur
510,Krishna,5020,Mudinepalle,589432,Alluru
510,Krishna,4994,Veerullapadu,588909,Alluru
517,Prakasam,5140,Kotha Patnam,591347,Alluru Kotha Patnam
517,Prakasam,5140,Kotha Patnam,591347,Alluru Kotha Patnam
517,Prakasam,5140,Kotha Patnam,591347,Alluru Kotha Patnam
517,Prakasam,5140,Kotha Patnam,591347,Alluru Kotha Patnam
510,Krishna,4990,Vatsavai,588826,Allurupadu
515,SPSR Nellore,5167,Allur,591875,Allurupeta
519,Srikakulam,4772,Kothuru,580098,Althi
515,SPSR Nellore,5176,Podalakur,592055,Althurthi
521,Vizianagaram,4837,Nellimarla,583156,Alugolu
521,Vizianagaram,4837,Nellimarla,583156,Alugolu
521,Vizianagaram,4831,Srungavarapukota,582983,Alugubilli
506,Guntur,5045,Dachepalle,589858,Alugumallipadu
511,Kurnool,5274,Alur,594164,Alur
502,Anantapur,5313,Tadpatri,594805,Alur
515,SPSR Nellore,5169,Kodavalur,591911,Alurupadu
511,Kurnool,5300,Sanjamala,594573,Alvakonda
511,Kurnool,5270,Gonegandla,594050,Alwala
511,Kurnool,5270,Gonegandla,594050,Alwala
511,Kurnool,5269,Kodumur,594044,Amadaguntla
502,Anantapur,5361,Amadagur,595503,Amadagur
502,Anantapur,5361,Amadagur,595503,Amadagur
511,Kurnool,5296,Koilkuntla,594504,Amadala
519,Srikakulam,4786,Regidi Amadalavalasa,580824,Amadalavalasa
502,Anantapur,5357,Puttaparthi,595451,Amagondapalem
502,Anantapur,5357,Puttaparthi,595451,Amagondapalem
511,Kurnool,5277,Krishnagiri,594218,Amakathadu
519,Srikakulam,4781,Vajrapukothuru,580578,Amalapadu
519,Srikakulam,4781,Vajrapukothuru,580578,Amalapadu
520,Visakhapatanam,4854,Narsipatnam,585799,Amalapuram
503,Chittoor,5390,Pedda Thippasamudram,596117,Amallabandakota
502,Anantapur,5314,Peddapappur,594842,Amalladinne
502,Anantapur,5314,Peddapappur,594842,Amalladinne
520,Visakhapatanam,4865,Bheemunipatnam,586140,Amanam
515,SPSR Nellore,5177,Nellore,592087,Amancherla
506,Guntur,5040,Macherla,589806,Amani Jammala Madaka
515,SPSR Nellore,5173,Ananthasagaram,591967,Amanichiruvella
504,Y.S.R.,5232,Pendlimarri,593427,Amaniviswanathapuram
519,Srikakulam,4796,Rajam,581310,Amaram
502,Anantapur,5351,Amarapuram,595372,Amarapuram
502,Anantapur,5351,Amarapuram,595372,Amarapuram
505,East Godavari,4912,Kothapalle,587483,Amaravalli
523,West Godavari,4735,Kukunoor,579318,Amaravaram
506,Guntur,5052,Amaravathi,589946,Amaravathi
510,Krishna,5017,Kalidindi,589367,Amaravathi
521,Vizianagaram,4824,Mentada,582722,Amarayavalasa
521,Vizianagaram,4840,Bhogapuram,583240,Amatam Ravivalasa
519,Srikakulam,4786,Regidi Amadalavalasa,580844,Ambada
506,Guntur,5050,Atchampet,589919,Ambadipudi
503,Chittoor,5402,Satyavedu,596332,Ambakam
504,Y.S.R.,5218,Lingala,593213,Ambakapalle
519,Srikakulam,4786,Regidi Amadalavalasa,580860,Ambakhandi
519,Srikakulam,4801,Gara,581504,Ambalavalasa
511,Kurnool,5279,Bethamcherla,594243,Ambapuram
515,SPSR Nellore,5177,Nellore,592094,Ambapuram
517,Prakasam,5101,Peda  Araveedu,590614,Ambapuram
510,Krishna,5011,Vijayawada (Rural),589219,Ambapuram (OG)
510,Krishna,4993,Nandigama,588882,Ambarupeta
521,Vizianagaram,4829,Bondapalle,582899,Ambativalasa
519,Srikakulam,4783,Hiramandalam,580725,Ambavalli
517,Prakasam,5145,Chandra Sekhara Puram,591472,Ambavaram
517,Prakasam,5133,Giddalur,591183,Ambavaram
517,Prakasam,5133,Giddalur,591183,Ambavaram
517,Prakasam,5133,Giddalur,591183,Ambavaram
504,Y.S.R.,5225,Vallur,593331,Ambavaram
504,Y.S.R.,5225,Vallur,593331,Ambavaram
523,West Godavari,4963,Bhimadole,588357,Amberpeta
523,West Godavari,4963,Bhimadole,588357,Amberpeta
520,Visakhapatanam,4872,Chodavaram,586219,Amberupuram
503,Chittoor,5420,Gangadhara Nellore,596685,Ambodharapalle
503,Chittoor,5381,Varadaiahpalem,595945,Ambur
510,Krishna,5026,Pamidimukkala,589542,Ameenapuram
502,Anantapur,5309,Guntakal,594724,Ameenpalle
502,Anantapur,5317,Uravakonda,594897,Amidala
502,Anantapur,5350,Madakasira,595350,Amidalagondi
503,Chittoor,5370,Gurramkonda,595652,Amilepalle
505,East Godavari,4912,Kothapalle,587491,Aminabada
506,Guntur,5072,Phirangipuram,590223,Aminabada
505,East Godavari,4888,Rajavommangi,586924,Aminabada
521,Vizianagaram,4821,Therlam,582576,Amity
505,East Godavari,4929,K Gangavaram,587706,Amjuru
503,Chittoor,5409,Penumuru,596442,Ammagaripalle
503,Chittoor,5394,Sodam,596166,Ammagaripalle
503,Chittoor,5394,Sodam,596166,Ammagaripalle
517,Prakasam,5126,Naguluppala Padu,591038,Ammana Brolu
517,Prakasam,5097,Yerragondapalem,590536,Ammani Gudi Padu
517,Prakasam,5097,Yerragondapalem,590536,Ammani Gudi Padu
523,West Godavari,4953,Jangareddigudem,588181,Ammapalem
520,Visakhapatanam,4853,Golugonda,585782,Ammapeta
505,East Godavari,4886,Y. Ramavaram,586764,Ammapeta
517,Prakasam,5151,Gudluru,591587,Ammavari Palem
517,Prakasam,5151,Gudluru,591587,Ammavari Palem
519,Srikakulam,4777,Kanchili,580439,Ammavariputtuga
505,East Godavari,4888,Rajavommangi,586896,Ammirekala
510,Krishna,5004,Bapulapadu,589086,Ampapuram
510,Krishna,5004,Bapulapadu,589086,Ampapuram
521,Vizianagaram,4815,Balijipeta,582302,Ampavilli
519,Srikakulam,4784,Palakonda,580775,Ampili
519,Srikakulam,4801,Gara,581519,Ampolu
520,Visakhapatanam,4861,Sabbavaram,912594,Amrutapuram
520,Visakhapatanam,4861,Sabbavaram,912594,Amrutapuram
506,Guntur,5086,Amruthalur,590392,Amruthalur
511,Kurnool,5273,Halaharvi,594129,Amruthapuram
503,Chittoor,5432,Palasamudram,597104,Amudala
523,West Godavari,4944,Chintalapudi,587925,Amudalachalaka
523,West Godavari,4968,Nidamarru,588468,Amudalapalle
510,Krishna,5013,Unguturu,589261,Amudalapalle
506,Guntur,5094,Nizampatnam,590481,Amudalapalli
506,Guntur,5094,Nizampatnam,590481,Amudalapalli
503,Chittoor,5432,Palasamudram,597106,Amudalaputhur
515,SPSR Nellore,5180,Thotapalligudur,592139,Amulur (South)
503,Chittoor,5421,Chittoor,596697,Anagallu
503,Chittoor,5376,Renigunta,595749,Anagunta
517,Prakasam,5137,Kondapi,591297,Anakarlapudi
517,Prakasam,5137,Kondapi,591297,Anakarlapudi
515,SPSR Nellore,5195,Pellakur,592652,Anakavolu
523,West Godavari,4984,Bhimavaram,588734,Anakoderu
523,West Godavari,4984,Bhimavaram,588734,Anakoderu
517,Prakasam,5122,Korisapadu,591005,Anamanamur
510,Krishna,5014,Nandivada,589302,Anamanapudi
519,Srikakulam,4798,Amadalavalasa,581394,Anandapuram
520,Visakhapatanam,4863,Anandapuram,586102,Anandapuram
519,Srikakulam,4797,Ganguvarisigadam,581358,Anandapuram
521,Vizianagaram,4828,Gurla,582848,Anandapuram
517,Prakasam,5148,Kandukur,591539,Anandapuram
519,Srikakulam,4791,Kotabommali,581065,Anandapuram
504,Y.S.R.,5247,Pullampeta,593676,Anantaiahgaripalle
504,Y.S.R.,5247,Pullampeta,593676,Anantaiahgaripalle
502,Anantapur,5330,Anantapur,595098,Anantapur (CT)
502,Anantapur,5330,Anantapur,912404,Anantapur Rural
502,Anantapur,5330,Anantapur,912404,Anantapur Rural
504,Y.S.R.,5199,Kondapuram,592829,Anantapuram
520,Visakhapatanam,4852,Nathavaram,585745,Anantha Padmanabhapuram
517,Prakasam,5148,Kandukur,591534,Anantha Sagaram
515,SPSR Nellore,5185,Sydapuram,592267,Ananthamadugu
523,West Godavari,4956,Nallajerla,588241,Ananthapalle
523,West Godavari,4956,Nallajerla,588241,Ananthapalle
504,Y.S.R.,5213,Chapad,593117,Ananthapuram
503,Chittoor,5421,Chittoor,596718,Ananthapuram
515,SPSR Nellore,5160,Kaligiri,591750,Ananthapuram
504,Y.S.R.,5240,Lakkireddipalle,593547,Ananthapuram
504,Y.S.R.,5240,Lakkireddipalle,593547,Ananthapuram
515,SPSR Nellore,5180,Thotapalligudur,592152,Ananthapuram
504,Y.S.R.,5249,Kodur,593709,Anantharajupeta
504,Y.S.R.,5249,Kodur,593709,Anantharajupeta
504,Y.S.R.,5249,Kodur,593709,Anantharajupeta
504,Y.S.R.,5249,Kodur,593709,Anantharajupeta
510,Krishna,5005,Agiripalle,589107,Ananthasagaram
515,SPSR Nellore,5173,Ananthasagaram,591969,Ananthasagaram
515,SPSR Nellore,5173,Ananthasagaram,591969,Ananthasagaram
515,SPSR Nellore,5173,Ananthasagaram,591969,Ananthasagaram
504,Y.S.R.,5247,Pullampeta,593688,Ananthasamudram
515,SPSR Nellore,5166,Dagadarthi,591862,Ananthavaram
506,Guntur,5088,Kollur,590412,Ananthavaram
506,Guntur,5051,Krosuru,589923,Ananthavaram
505,East Godavari,4932,Mummidivaram,587760,Ananthavaram
520,Visakhapatanam,4864,Padmanabham,586125,Ananthavaram
517,Prakasam,5141,Tangutur,591367,Ananthavaram
506,Guntur,5053,Thullur,589956,Ananthavaram
517,Prakasam,5107,Yeddana Pudi,590706,Ananthavaram
517,Prakasam,5107,Yeddana Pudi,590706,Ananthavaram
506,Guntur,5080,Vatticherukuru,590311,Ananthavarappadu
505,East Godavari,4917,Anaparthy,587541,Anaparthy
521,Vizianagaram,4813,Makkuva,582198,Anasabhadra
521,Vizianagaram,4820,Badangi,582530,Anavaram
515,SPSR Nellore,5198,Tada,592781,Andagundala
515,SPSR Nellore,5198,Tada,592781,Andagundala
515,SPSR Nellore,5192,Vakadu,592549,Andalamala
520,Visakhapatanam,4878,Atchutapuram,586385,Andalapalle
523,West Godavari,4983,Veeravasaram,588712,Andaluru
520,Visakhapatanam,4848,G.Madugula,584968,Andangisingi
519,Srikakulam,4792,Jalumuru,581129,Andhavaram
520,Visakhapatanam,4846,Hukumpeta,584566,Andiba
521,Vizianagaram,4824,Mentada,582709,Andra
505,East Godavari,4923,Kajuluru,587627,Andrangi
506,Guntur,5051,Krosuru,589934,Andukuru
515,SPSR Nellore,5158,Kavali,591714,Anemadugu
515,SPSR Nellore,5196,Doravarisatram,592697,Anepudi (Nadimi Khandrika)
506,Guntur,5078,Tenali,590292,Angalakuduru
506,Guntur,5078,Tenali,590292,Angalakuduru
503,Chittoor,5389,Kurabalakota,596101,Angallu
506,Guntur,5065,Ipur,590126,Angalur
510,Krishna,5029,Gudlavalleru,589598,Angaluru
503,Chittoor,5426,Gudupalle,596868,Anganamalakothuru
505,East Godavari,4928,Kapileswarapuram,587696,Angara
519,Srikakulam,4773,Pathapatnam,580145,Angarasingi
519,Srikakulam,4788,Saravakota,580950,Anguru
519,Srikakulam,4788,Saravakota,580950,Anguru
510,Krishna,4992,Penuganchiprolu,588861,Anigandlapadu
510,Krishna,4992,Penuganchiprolu,588861,Anigandlapadu
517,Prakasam,5145,Chandra Sekhara Puram,591463,Anikalla Palle
515,SPSR Nellore,5182,Venkatachalam,592180,Anikepalle
504,Y.S.R.,5222,Veerapunayunipalle,593271,Animela
504,Y.S.R.,5222,Veerapunayunipalle,593271,Animela
504,Y.S.R.,5222,Veerapunayunipalle,593271,Animela
510,Krishna,4997,Tiruvuru,588976,Anjaneyapuram
503,Chittoor,5382,K.V.B.Puram,595973,Anjuru
504,Y.S.R.,5217,Simhadripuram,593198,Ankalammagudur
523,West Godavari,4954,Kamavarapukota,588199,Ankalampadu
505,East Godavari,4919,Atreyapuram,587568,Ankampalem
523,West Godavari,4947,Jeelugu Milli,588016,Ankampalem
502,Anantapur,5318,Beluguppa,594908,Ankampalle
502,Anantapur,5318,Beluguppa,594908,Ankampalle
502,Anantapur,5324,Garladinne,594986,Ankampeta
523,West Godavari,4947,Jeelugu Milli,588008,Ankanna Gudem
506,Guntur,5074,Guntur,590244,Ankireddipalem (R)
506,Guntur,5074,Guntur,590244,Ankireddipalem (R)
506,Guntur,5074,Guntur,590244,Ankireddipalem (R)
504,Y.S.R.,5222,Veerapunayunipalle,593255,Ankireddipalle
520,Visakhapatanam,4872,Chodavaram,586217,Ankupalem
520,Visakhapatanam,4872,Chodavaram,586217,Ankupalem
520,Visakhapatanam,4872,Chodavaram,586217,Ankupalem
515,SPSR Nellore,5176,Podalakur,592066,Ankupalle
517,Prakasam,5114,Darsi,590837,Anna Varam
517,Prakasam,5130,Hanumanthuni Padu,591120,Annada Puram
523,West Godavari,4950,Tallapudi,588118,Annadevarapeta
504,Y.S.R.,5204,S.Mydukur,592935,Annalur
504,Y.S.R.,5204,S.Mydukur,592935,Annalur
515,SPSR Nellore,5190,Chillakur,592512,Annambaka
515,SPSR Nellore,5194,Naidupet,592625,Annamedu
505,East Godavari,4932,Mummidivaram,587755,Annampalle
521,Vizianagaram,4835,Jami,583114,Annamrajupeta
517,Prakasam,5127,Maddipadu,591051,Annangi
506,Guntur,5082,Pedanandipadu,590334,Annaparru
504,Y.S.R.,5203,Duvvur,592921,Annapusastrula Palle
515,SPSR Nellore,5171,Sangam,591944,Annareddipalem
503,Chittoor,5376,Renigunta,595754,Annasamipalle
517,Prakasam,5099,Tripuranthakam,590572,Annasamudram
517,Prakasam,5099,Tripuranthakam,590572,Annasamudram
520,Visakhapatanam,4865,Bheemunipatnam,586141,Annavaram
