121,Bhyravapalem,,197,3,,,2019-10-18 09:14:14.402125,2019-10-18 09:14:14.402125,,,,,,
123,Suryaraopeta,,223,3,,,2019-10-18 09:14:14.468345,2019-10-18 09:14:14.468345,,,,,,
124,Etimoga,,664,3,,,2019-10-18 09:14:14.499083,2019-10-18 09:14:14.499083,,,,,,
125,Khumbhabhishekam,,664,3,,,2019-10-18 09:14:14.534265,2019-10-18 09:14:14.534265,,,,,,
126,Uppalankamondi,,247,3,,,2019-10-18 09:14:14.572181,2019-10-18 09:14:14.572181,,,,,,
127,Balusutippa,,252,3,,,2019-10-18 09:14:14.607129,2019-10-18 09:14:14.607129,,,,,,
128,Kothapalem,,252,3,,,2019-10-18 09:14:14.662083,2019-10-18 09:14:14.662083,,,,,,
129,Karavaka,,322,3,,,2019-10-18 09:14:14.712223,2019-10-18 09:14:14.712223,,,,,,
130,Av pallipalem,,525,3,,,2019-10-18 09:14:14.756221,2019-10-18 09:14:14.756221,,,,,,
131,Chollangipeta,,580,3,,,2019-10-18 09:14:14.79206,2019-10-18 09:14:14.79206,,,,,,
132,Gadimoga,,580,3,,,2019-10-18 09:14:14.828363,2019-10-18 09:14:14.828363,,,,,,
133,Matlapalem,,580,3,,,2019-10-18 09:14:14.861533,2019-10-18 09:14:14.861533,,,,,,
134,Pedavalasala,,580,3,,,2019-10-18 09:14:14.899031,2019-10-18 09:14:14.899031,,,,,,
135,Danavaipeta,,584,3,,,2019-10-18 09:14:14.933074,2019-10-18 09:14:14.933074,,,,,,
136,G.m peta,,584,3,,,2019-10-18 09:14:14.966393,2019-10-18 09:14:14.966393,,,,,,
137,K chodipallipeta,,584,3,,,2019-10-18 09:14:15.002217,2019-10-18 09:14:15.002217,,,,,,
138,K.p. puram,,584,3,,,2019-10-18 09:14:15.037405,2019-10-18 09:14:15.037405,,,,,,
139,Kothapeta,,584,3,,,2019-10-18 09:14:15.065807,2019-10-18 09:14:15.065807,,,,,,
140,Narsipeta,,584,3,,,2019-10-18 09:14:15.096316,2019-10-18 09:14:15.096316,,,,,,
141,Pampothipeta,,584,3,,,2019-10-18 09:14:15.123286,2019-10-18 09:14:15.123286,,,,,,
142,Ramaraopeta,,584,3,,,2019-10-18 09:14:15.163158,2019-10-18 09:14:15.163158,,,,,,
143,Talapanthipeta,,584,3,,,2019-10-18 09:14:15.204613,2019-10-18 09:14:15.204613,,,,,,
144,Yellayyapeta,,584,3,,,2019-10-18 09:14:15.255362,2019-10-18 09:14:15.255362,,,,,,
145,Yerrayyapeta,,584,3,,,2019-10-18 09:14:15.29123,2019-10-18 09:14:15.29123,,,,,,
146,Ameenabad,,280,3,,,2019-10-18 09:14:15.314564,2019-10-18 09:14:15.314564,,,,,,
147,Konapappeta,,280,3,,,2019-10-18 09:14:15.3442,2019-10-18 09:14:15.3442,,,,,,
148,Mulapeta,,280,3,,,2019-10-18 09:14:15.363724,2019-10-18 09:14:15.363724,,,,,,
149,Vasalatippa,,603,3,,,2019-10-18 09:14:15.403038,2019-10-18 09:14:15.403038,,,,,,
150,Dibbalapalem,,339,12,,,2019-10-18 09:14:15.434539,2019-10-18 09:14:15.434539,,,,,,
151,Kp palem south,,339,12,,,2019-10-18 09:14:15.468159,2019-10-18 09:14:15.468159,,,,,,
152,Mollaparru,,339,12,,,2019-10-18 09:14:15.490639,2019-10-18 09:14:15.490639,,,,,,
153,Biyyaputhippa,,375,12,,,2019-10-18 09:14:15.532281,2019-10-18 09:14:15.532281,,,,,,
154,Chinnamainavanilanka,,375,12,,,2019-10-18 09:14:15.561848,2019-10-18 09:14:15.561848,,,,,,
