District Code,District Name,Mandal Code,Mandal Name,Panchayat Code,Panchayat Name
519,Srikakulam,4802,Srikakulam,211563,Alikam
503,Chittoor,5399,Vadamalapeta,197939,Alimelu Manga Puram
515,SPSR Nellore,5188,Balayapalle,208327,Alimili
510,Krishna,5015,Mandavalli,203370,Alinagaram
510,Krishna,5026,Pamidimukkala,203611,Alinakhipalem
504,Y.S.R.,5233,Vempalle,198877,Alireddypalli
503,Chittoor,5402,Satyavedu,197702,Alivelumangammapuram
523,West Godavari,4948,Buttayagudem,214347,Aliveru
506,Guntur,5091,Pittalavanipalem,200606,Alkapuram
519,Srikakulam,4792,Jalumuru,210813,Allada
519,Srikakulam,4792,Jalumuru,210814,Alladapea
521,Vizianagaram,4838,Pusapatirega,213042,Alladipalem
504,Y.S.R.,5213,Chapad,198204,Alladupalle
503,Chittoor,5397,Vedurukuppam,198002,Allamadugu
523,West Godavari,4946,T.Narasapuram,214996,Allamcharlarajupalem
515,SPSR Nellore,5163,Marripadu,208741,Allampadu
506,Guntur,5089,Bhattiprolu,200032,Allamudi
502,Anantapur,5358,Obuladevaracheruvu,196347,Allapalli
506,Guntur,5095,Nagaram,200427,Allaparru
503,Chittoor,5402,Satyavedu,197703,Allappagunta
510,Krishna,5012,Gannavaram,203082,Allapuram
505,East Godavari,4940,Allavaram,198997,Allavaram
506,Guntur,5090,Cherukupalle H/O Arumbaka,200080,Allavaripalem
519,Srikakulam,4794,Burja,210659,Allena
515,SPSR Nellore,5159,Bogole,208351,Allimadugu
519,Srikakulam,4806,Etcherla,210687,Allinagaram
517,Prakasam,5134,Komarolu,234959,Allinagaram
505,East Godavari,4889,Kotananduru,199354,Allipudi
519,Srikakulam,4805,Ranastalam,211325,Allivalasa
502,Anantapur,5359,Nallacheruvu,196293,Allugundu
511,Kurnool,5278,Veldurthi,204700,Allugundu
519,Srikakulam,4775,Palasa,211192,Allukola
515,SPSR Nellore,5167,Allur,208250,Allur
511,Kurnool,5260,Nandikotkur,204451,Allur
511,Kurnool,5302,Uyyalawada,204683,Allur
506,Guntur,5067,Narasaraopet,200451,Allurivaripalem
515,SPSR Nellore,5169,Kodavalur,208651,Allurpadu
517,Prakasam,5140,Kotha Patnam,234724,Alluru
510,Krishna,5020,Mudinepalle,203433,Alluru
506,Guntur,5091,Pittalavanipalem,200607,Alluru
510,Krishna,4994,Veerullapadu,203801,Alluru
510,Krishna,4990,Vatsavai,203777,Allurupadu
517,Prakasam,5140,Kotha Patnam,234737,Alooru
519,Srikakulam,4772,Kothuru,210942,Althi
515,SPSR Nellore,5176,Podalakur,208881,Althurthi
515,SPSR Nellore,5186,Dakkili,208470,Althurupadu
521,Vizianagaram,4837,Nellimarla,212961,Alugolu
521,Vizianagaram,4831,Srungavarapukota,213154,Alugubilli
511,Kurnool,5274,Alur,203913,Alur
502,Anantapur,5313,Tadpatri,196621,Alur
506,Guntur,5084,Ponnur,200620,Aluru
511,Kurnool,5300,Sanjamala,204638,Alvakonda
511,Kurnool,5270,Gonegandla,204130,Alwala
511,Kurnool,5269,Kodumur,204239,Amadaguntla
502,Anantapur,5361,Amadagur,195784,Amadagur
511,Kurnool,5296,Koilkuntla,204252,Amadala
519,Srikakulam,4786,Regidi Amadalavalasa,211356,Amadalavalasa
504,Y.S.R.,5206,Sri Avadhutha Kasinayana,198787,Amagampalli
502,Anantapur,5357,Puttaparthi,196474,Amagondapalem
521,Vizianagaram,4839,Denkada,212512,Amakam
511,Kurnool,5277,Krishnagiri,204345,Amakathadu
519,Srikakulam,4775,Palasa,211193,Amalakhudia
519,Srikakulam,4781,Vajrapukothuru,211618,Amalapadu
511,Kurnool,5265,Atmakur,203946,Amalapuram
520,Visakhapatanam,4880,Nakkapalle,235688,Amalapuram
520,Visakhapatanam,4854,Narsipatnam,212141,Amalapuram
520,Visakhapatanam,4865,Bheemunipatnam,211771,Amanam
515,SPSR Nellore,5177,Nellore,208802,Amancharla
515,SPSR Nellore,5173,Ananthasagaram,208263,Amanchiruvella
503,Chittoor,5377,Yerpedu,198093,Amanduru
517,Prakasam,5097,Yerragondapalem,234989,Amanigudipadu
502,Anantapur,5351,Amarapuram,195794,Amarapuram
523,West Godavari,4735,Kukunoor,202495,Amaravaram
506,Guntur,5052,Amaravathi,199941,Amaravathi
510,Krishna,5017,Kalidindi,203248,Amaravathi
505,East Godavari,4912,Kothapalle,199381,Amaravilli
521,Vizianagaram,4824,Mentada,212907,Amarayavalasa
519,Srikakulam,4786,Regidi Amadalavalasa,211357,Ambada
506,Guntur,5050,Atchampet,199975,Ambadipudi
503,Chittoor,5402,Satyavedu,197704,Ambakam
504,Y.S.R.,5218,Lingala,198457,Ambakapalli
519,Srikakulam,4786,Regidi Amadalavalasa,211358,Ambakhandi
519,Srikakulam,4801,Gara,210744,Amballavalasa
511,Kurnool,5279,Bethamcherla,203997,Ambapuram
506,Guntur,5044,Gurazala,200201,Ambapuram
510,Krishna,5011,Vijayawada (Rural),203823,Ambapuram
503,Chittoor,5419,Srirangarajapuram,197806,Ambaramaharajapuram
510,Krishna,4993,Nandigama,203514,Ambarupet
521,Vizianagaram,4829,Bondapalle,212432,Ambativalasa
517,Prakasam,5145,Chandra Sekhara Puram,235128,Ambavaram
517,Prakasam,5133,Giddalur,234994,Ambavaram
504,Y.S.R.,5215,Jammalamadugu,198327,Ambavaram
504,Y.S.R.,5225,Vallur,198831,Ambavaram
