mandal_name,village_code,village_name
648,586764,Ammapeta
179,591587,Ammavari Palem
179,591587,Ammavari Palem
240,580439,Ammavariputtuga
488,586896,Ammirekala
54,589086,Ampapuram
54,589086,Ampapuram
47,582302,Ampavilli
406,580775,Ampili
159,581519,Ampolu
524,912594,Amrutapuram
524,912594,Amrutapuram
21,590392,Amruthalur
191,594129,Amruthapuram
409,597104,Amudala
105,587925,Amudalachalaka
386,588468,Amudalapalle
601,589261,Amudalapalle
389,590481,Amudalapalli
389,590481,Amudalapalli
409,597106,Amudalaputhur
586,592139,Amulur (South)
112,596697,Anagallu
512,595749,Anagunta
268,591297,Anakarlapudi
268,591297,Anakarlapudi
443,592652,Anakavolu
64,588734,Anakoderu
64,588734,Anakoderu
271,591005,Anamanamur
372,589302,Anamanapudi
16,581394,Anandapuram
23,586102,Anandapuram
156,581358,Anandapuram
189,582848,Anandapuram
241,591539,Anandapuram
275,581065,Anandapuram
476,593676,Anantaiahgaripalle
476,593676,Anantaiahgaripalle
24,595098,Anantapur (CT)
24,912404,Anantapur Rural
24,912404,Anantapur Rural
270,592829,Anantapuram
380,585745,Anantha Padmanabhapuram
241,591534,Anantha Sagaram
562,592267,Ananthamadugu
364,588241,Ananthapalle
364,588241,Ananthapalle
89,593117,Ananthapuram
112,596718,Ananthapuram
228,591750,Ananthapuram
303,593547,Ananthapuram
303,593547,Ananthapuram
586,592152,Ananthapuram
259,593709,Anantharajupeta
259,593709,Anantharajupeta
259,593709,Anantharajupeta
259,593709,Anantharajupeta
7,589107,Ananthasagaram
26,591969,Ananthasagaram
26,591969,Ananthasagaram
26,591969,Ananthasagaram
476,593688,Ananthasamudram
119,591862,Ananthavaram
264,590412,Ananthavaram
291,589923,Ananthavaram
346,587760,Ananthavaram
401,586125,Ananthavaram
575,591367,Ananthavaram
589,589956,Ananthavaram
651,590706,Ananthavaram
651,590706,Ananthavaram
617,590311,Ananthavarappadu
27,587541,Anaparthy
320,582198,Anasabhadra
43,582530,Anavaram
565,592781,Andagundala
565,592781,Andagundala
609,592549,Andalamala
33,586385,Andalapalle
622,588712,Andaluru
145,584968,Andangisingi
208,581129,Andhavaram
196,584566,Andiba
336,582709,Andra
222,587627,Andrangi
291,589934,Andukuru
253,591714,Anemadugu
132,592697,Anepudi (Nadimi Khandrika)
579,590292,Angalakuduru
579,590292,Angalakuduru
298,596101,Angallu
202,590126,Angalur
178,589598,Angaluru
180,596868,Anganamalakothuru
245,587696,Angara
420,580145,Angarasingi
537,580950,Anguru
537,580950,Anguru
449,588861,Anigandlapadu
449,588861,Anigandlapadu
87,591463,Anikalla Palle
632,592180,Anikepalle
621,593271,Animela
621,593271,Animela
621,593271,Animela
592,588976,Anjaneyapuram
218,595973,Anjuru
548,593198,Ankalammagudur
235,588199,Ankalampadu
38,587568,Ankampalem
213,588016,Ankampalem
57,594908,Ankampalle
57,594908,Ankampalle
161,594986,Ankampeta
213,588008,Ankanna Gudem
187,590244,Ankireddipalem (R)
187,590244,Ankireddipalem (R)
187,590244,Ankireddipalem (R)
621,593255,Ankireddipalle
114,586217,Ankupalem
114,586217,Ankupalem
114,586217,Ankupalem
461,592066,Ankupalle
121,590837,Anna Varam
192,591120,Annada Puram
571,588118,Annadevarapeta
522,592935,Annalur
522,592935,Annalur
100,592512,Annambaka
361,592625,Annamedu
346,587755,Annampalle
209,583114,Annamrajupeta
